4||full_access|60 Minutes is an investigative television newsmagazine on United States television, which has run on CBS News since 1968. The program was created by long time producer Don Hewitt who set it apart by using a unique style of reporter-centered investigation. It has been the top-rated program for much of its life, and has garnered numerous awards over the years. It is considered the pre-eminent investigative television program in the United States.|http://en.wikipedia.org/wiki/60_Minutes|Wikipedia|Ed Bradley, Steve Kroft, Dan Rather, Morley Safer, Daniel Schorr, Lesley Stahl, Mike Wallace|Jeff Fager|CBS News, Andrew Heyward|public_corporation|524 West 57th St.||New York|US|CA|10019|national|english||||60m@cbsnews.com |(212) 975-3247|hide|list|neutral|
5||full_access|ABC News is a division of ABC television and radio networks (ABC). (...) Some of its current programs include Good Morning America, World News Tonight, 20/20, Primetime, Nightline, World News This Morning, This Week with George Stephanopoulos, and ABC News Radio.|http://en.wikipedia.org/wiki/ABC_News|Wikipedia||David Westin|Walt Disney Company|public_corporation|7 WEST 66th Street||New York|US|NY|10023|national|english||||||hide|list|neutral|
10||full_access|Agence France-Presse (AFP) is the oldest news agency in the world. It is also the largest French agency and the third largest news agency in the world, behind the Associated Press and Reuters.\r\n\r\nThe agency is based in Paris, with regional centres in Washington, Hong Kong, Nicosia and Montevideo and bureaux in 110 countries. It sends out news in French, English, Arabic, Spanish, German, Portuguese and Russian.\r\n\r\nAFP was founded in 1835 by Charles-Louis Havas as Agence Havas.|http://en.wikipedia.org/wiki/Agence_France_Presse|Wikipedia||Pierre Louette||nonprofit_organization|13, Place de la Bourse||Paris|FR|||international|french||||||hide|list|neutral|
16||full_access|Al Jazeera (meaning "The Island" and/or "The Peninsula"), is an Arabic-language television channel based in Doha, Qatar. Its willingness to broadcast dissenting views, including on call-in shows, created controversies in the autocratic Persian Gulf Arab States. The station gained worldwide attention following the September 11, 2001 attacks, when it broadcast video statements by Osama bin Laden and other Al Qaeda leaders (see Videos of Osama bin Laden).\r\n\r\nAl Jazeera operates several specialized television channels in addition to its primary news channel. These include Al Jazeera Sports, a popular Arabic-language sports channel, Al Jazeera Live, which broadcasts conferences in real time without editing or commentary, and the Al Jazeera Children's Channel. Future announced products include an English-language channel, Al Jazeera International, Al Jazeera Urdu, an Urdu language version catering mainly to South Asians and a channel specializing in documentaries, and possible music channels or an international newspaper.\r\n\r\nIn addition to its TV channels, Al Jazeera operates Arabic and English language websites. Its English language website at http://english.aljazeera.net/HomePage, should not be confused with Aljazeera.com, an unrelated English language website that publishes news and opinion pieces of an inflammatory nature about current affairs in the Middle East.|http://en.wikipedia.org/wiki/Aljazeera|Wikipedia||Sheikh Hamad bin Thamer al-Thani (Chairman)|The Qatari government||P.O. Box 23127||Doha|QA|||international|english|||http://english.aljazeera.net/NR/exeres/E53A78E4-8F00-4D4C-9B62-DE3D19E5B1AA.htm||+974 - 489 0777|hide|list|neutral|
18||full_access|All Things Considered, sometimes abbreviated ATC, is a news radio program in the United States, broadcast on the National Public Radio network. It was the first news program on the network. The program combines news, analysis, commentary, interviews, and special features. It airs on weekday evenings from 4:00 to 6:00 p.m. Eastern Time, and is re-fed with updates until 10 p.m. Eastern Time. Early broadcasts were 90 minutes long; now they run for two hours. The show now airs on over 560 radio stations and reaches an audience of approximately 12 million listeners each weekday, making it the third most listened to radio program after Rush Limbaugh and Morning Edition. The show is co-hosted by Robert Siegel, Michele Norris and Melissa Block.\r\n\r\nThe first broadcast of All Things Considered was to about 90 radio stations on May 3, 1971. The first story was about Washington, D.C. and the growing anti-Vietnam War protests taking place there. Weekend All Things Considered, or WATC, is a one-hour version of the show that premiered in 1977 and is broadcast on Saturdays and Sundays. Deborah Elliott is the current host of WATC. She replaced Steve Inskeep when he became co-host of Morning Edition in 2004.|http://en.wikipedia.org/wiki/All_Things_Considered|Wikipedia||||||||||||english||||||hide|list|right|
19||full_access|AllAfrica.com is a website that aggregates news produced primarily on the African continent on all areas of African life, politics, issues and culture. It is available in both English and French and produced by AllAfrica Global Media, which has offices in Cape Town, Lagos, Monrovia, and Washington, D.C.. AllAfrica is the successor to the African News Service|http://en.wikipedia.org/wiki/AllAfrica.com|Wikipedia||||||||||||english||||||hide|hide|not_applicable|
20||full_access|AlterNet, a project of the non-profit Independent Media Institute, is a progressive/liberal activist news service. Launched in 1998, AlterNet now claims a readership of over 3 million visitors per month. AlterNet publishes original content as well as journalism from a wide variety of other sources. AlterNet states that its mission is to "inspire citizen action and advocacy on the environment, human rights and civil liberties, social justice, media, and health care issues." AlterNet's tagline is "The Mix is the Message."|http://en.wikipedia.org/wiki/AlterNet|Wikipedia||Matthew Wheeland|Don Hazen||77 Federal Street||San Francisco|US|CA|94107|national|english|||http://www.alternet.org/about/contact.html||415/284-1420|hide|list|left|
26||full_access|The American Prospect is a monthly magazine "of liberal ideas, committed to a just society, an enriched democracy, and effective liberal politics"[1] which focuses on U.S. politics and public policy. Roughly speaking, its politics are to the left of The New Republic and to the right of The Nation.\r\n\r\nThe magazine was founded in 1990 by Robert Kuttner, Robert Reich, and Paul Starr as a response to the intellectual ascendancy of conservatism in the 1980s. Originally it published quarterly, then bimonthly. In 2000, thanks to a grant from the Schumann Center for Media and Democracy, it became biweekly. Financial and logistical difficulties ensued, and the magazine moved to its present monthly format in spring 2003. Currently Kuttner and Starr share the title of Editor with Michael Tomasky, former columnist for New York magazine, and executive editor of The American Prospect. Harold Meyerson currently serves as Editor-at-Large. Its editorial headquarters are in Washington DC.|http://en.wikipedia.org/wiki/The_American_Prospect|Wikipedia||||||||||||english||||||hide|list|left|
28||full_access|American Public Media is the brand under which Minnesota Public Radio distributes public radio programming outside of the state of Minnesota. American Public Media is responsible for distribution of Garrison Keillor's well-known weekend program A Prairie Home Companion; on weekdays, its most prominent program is Marketplace.|http://en.wikipedia.org/wiki/American_Public_Media|Wikipedia||||||||||||english||||||hide|||
31||full_access|The Anchorage Daily News is a daily newspaper based in Anchorage, Alaska, in the United States. With a circulation of about 71,711 daily and 89,423 Sundays[1], it is by far the most widely read newspaper in the state of Alaska.\r\n\r\nThe current editor of the Anchorage Daily News is Pat Dougherty.\r\n\r\nThe newspaper has about 450 full-time employees in Anchorage headquarters and Matanuska-Susitna Valley, Kenai Peninsula, Juneau, and Washington, D.C. bureaus|http://en.wikipedia.org/wiki/Anchorage_Daily_News|Wikipedia||||||||||||english||||||hide|||
